State_Name,District_Name,Season,Crop,Area,Production,Temperature,Rainfall
Karnataka,BAGALKOT,Kharif     ,Arhar/Tur,6154,2602,30.1994786586611,79.009049185321
Karnataka,BAGALKOT,Kharif     ,Bajra,48855,52375,33.0054846226716,121.144676911911
Karnataka,BAGALKOT,Kharif     ,Castor seed,71,61,31.4595647625298,64.1805992844004
Karnataka,BAGALKOT,Kharif     ,Cotton(lint),15225,22129,32.0190864910882,135.950475464563
Karnataka,BAGALKOT,Kharif     ,Groundnut,16368,7734,31.0580939895143,132.888760341538
Karnataka,BAGALKOT,Kharif     ,Horse-gram,3372,1156,32.3670050367636,121.575365993561
Karnataka,BAGALKOT,Kharif     ,Jowar,12363,24855,30.2756434376993,139.747269786835
Karnataka,BAGALKOT,Kharif     ,Maize,30630,92831,33.8795501154101,111.630967364561
Karnataka,BAGALKOT,Kharif     ,Moong(Green Gram),13872,1147,33.8464186093412,71.5976002653124
Karnataka,BAGALKOT,Kharif     ,Niger seed,310,47,32.1826943026815,123.021084923069
Karnataka,BAGALKOT,Kharif     ,Onion,3090,14100,31.3798552335659,76.0523854233446
Karnataka,BAGALKOT,Kharif     ,Rapeseed &Mustard,51,7,32.4086981866063,88.200937441597
Karnataka,BAGALKOT,Kharif     ,Rice,197,316,34.5145872129394,137.52042308392
Karnataka,BAGALKOT,Kharif     ,Sesamum,2395,937,32.9295495287351,95.4809209973274
Karnataka,BAGALKOT,Kharif     ,Soyabean,5221,3854,32.6688912004858,112.669943154945
Karnataka,BAGALKOT,Kharif     ,Sunflower,36785,13374,33.6631261356322,82.3373579472158
Karnataka,BAGALKOT,Rabi       ,Gram,17835,15170,32.2724757255689,83.4737375433263
Karnataka,BAGALKOT,Rabi       ,Groundnut,15849,24166,34.1697798131895,86.5290624896365
Karnataka,BAGALKOT,Rabi       ,Horse-gram,2098,608,33.6010164089038,100.618046531598
Karnataka,BAGALKOT,Rabi       ,Jowar,152540,120840,30.6172102598048,138.055369685883
Karnataka,BAGALKOT,Rabi       ,Linseed,4667,1667,34.3440711159129,103.395891926111
Karnataka,BAGALKOT,Rabi       ,Maize,10520,24026,34.133035701032,116.313390558658
Karnataka,BAGALKOT,Rabi       ,Onion,1226,16070,31.253750885663,107.598502926435
Karnataka,BAGALKOT,Rabi       ,Safflower,4590,3570,33.0640418683328,127.279154562224
Karnataka,BAGALKOT,Rabi       ,Sunflower,41359,16619,30.2536890714554,134.884610323907
Karnataka,BAGALKOT,Rabi       ,Wheat,22207,28030,34.826772487682,62.9073911167
Karnataka,BAGALKOT,Summer     ,Maize,2252,5016,34.5809989735906,100.277942875465
Karnataka,BAGALKOT,Summer     ,Onion,1032,15017,32.642054866916,78.2573820134293
Karnataka,BAGALKOT,Summer     ,Sunflower,2262,1195,34.288785712395,118.33363089206
Karnataka,BAGALKOT,Whole Year ,Arecanut,1,7,33.4925657856494,97.9615972093217
Karnataka,BAGALKOT,Whole Year ,Coconut ,571,2728,34.4673366948188,68.4169004318344
