State_Name,District_Name,Season,Crop,Area,Production,Temperature,Rainfall
Maharashtra,AHMEDNAGAR,Kharif,Arhar/Tur,17600.00,6300.00,30.1994786586611,79.009049185321
Maharashtra,AHMEDNAGAR,Kharif,Arhar/Tur,18800.00,9700.00,33.0054846226716,121.144676911911
Maharashtra,AHMEDNAGAR,Kharif,Arhar/Tur,19000.00,9900.00,31.4595647625298,64.1805992844004
Maharashtra,AHMEDNAGAR,Kharif,Arhar/Tur,19100.00,9400.00,32.0190864910882,135.950475464563
Maharashtra,AHMEDNAGAR,Kharif,Arhar/Tur,16700.00,5400.00,31.0580939895143,132.888760341538
Maharashtra,AHMEDNAGAR,Kharif,Arhar/Tur,14600.00,5700.00,32.3670050367636,121.575365993561
Maharashtra,AHMEDNAGAR,Kharif,Arhar/Tur,9000.00,3000.00,30.2756434376993,139.747269786835
Maharashtra,AHMEDNAGAR,Kharif,Arhar/Tur,12200.00,4800.00,33.8795501154101,111.630967364561
Maharashtra,AHMEDNAGAR,Kharif,Arhar/Tur,11100.00,3800.00,33.8464186093412,71.5976002653124
Maharashtra,AHMEDNAGAR,Kharif,Arhar/Tur,13000.00,6600.00,32.1826943026815,123.021084923069
Maharashtra,AHMEDNAGAR,Kharif,Arhar/Tur,146.00,79.00,31.3798552335659,76.0523854233446
Maharashtra,AHMEDNAGAR,Kharif,Arhar/Tur,2700.00,1200.00,32.4086981866063,88.200937441597
Maharashtra,AHMEDNAGAR,Kharif,Arhar/Tur,12100.00,6200.00,34.5145872129394,137.52042308392
Maharashtra,AHMEDNAGAR,Kharif,Arhar/Tur,17600.00,11300.00,32.9295495287351,95.4809209973274
Maharashtra,AHMEDNAGAR,Kharif,Arhar/Tur,12800.00,6400.00,32.6688912004858,112.669943154945
Maharashtra,AHMEDNAGAR,Kharif,Arhar/Tur,9500.00,2200.00,33.6631261356322,82.3373579472158
Maharashtra,AHMEDNAGAR,Kharif,Arhar/Tur,11000.00,9200.00,32.2724757255689,83.4737375433263
Maharashtra,AHMEDNAGAR,Kharif,Arhar/Tur,9100.00,1800.00,34.1697798131895,86.5290624896365
Maharashtra,AKOLA,Kharif,Arhar/Tur,81200.00,64400.00,33.6010164089038,100.618046531598
Maharashtra,AKOLA,Kharif,Arhar/Tur,77300.00,88300.00,30.6172102598048,138.055369685883
Maharashtra,AKOLA,Kharif,Arhar/Tur,46000.00,58000.00,34.3440711159129,103.395891926111
Maharashtra,AKOLA,Kharif,Arhar/Tur,46400.00,33100.00,34.133035701032,116.313390558658
Maharashtra,AKOLA,Kharif,Arhar/Tur,46800.00,41600.00,31.253750885663,107.598502926435
Maharashtra,AKOLA,Kharif,Arhar/Tur,46500.00,42100.00,33.0640418683328,127.279154562224
Maharashtra,AKOLA,Kharif,Arhar/Tur,51000.00,43500.00,30.2536890714554,134.884610323907
Maharashtra,AKOLA,Kharif,Arhar/Tur,52200.00,27500.00,34.826772487682,62.9073911167
Maharashtra,AKOLA,Kharif,Arhar/Tur,56500.00,41000.00,34.5809989735906,100.277942875465
Maharashtra,AKOLA,Kharif,Arhar/Tur,54600.00,51300.00,32.642054866916,78.2573820134293
Maharashtra,AKOLA,Kharif,Arhar/Tur,580.00,625.00,34.288785712395,118.33363089206
Maharashtra,AKOLA,Kharif,Arhar/Tur,49700.00,15500.00,33.4925657856494,97.9615972093217
Maharashtra,AKOLA,Kharif,Arhar/Tur,50900.00,61100.00,34.4673366948188,68.4169004318344
Maharashtra,AKOLA,Kharif,Arhar/Tur,61500.00,52100.00,33.5681764906198,97.6799338026158
Maharashtra,AKOLA,Kharif,Arhar/Tur,62200.00,22000.00,34.6316924410946,114.449370087695
Maharashtra,AKOLA,Kharif,Arhar/Tur,62500.00,93100.00,32.2453801467189,86.4688848393198
Maharashtra,AKOLA,Kharif,Arhar/Tur,66500.00,83800.00,34.6087867358254,124.22396951919
Maharashtra,AKOLA,Kharif,Arhar/Tur,50100.00,19600.00,31.7340585127785,68.1740543265301
Maharashtra,AMRAVATI,Kharif,Arhar/Tur,83400.00,61300.00,33.2056255157119,111.771788124873
Maharashtra,AMRAVATI,Kharif,Arhar/Tur,86500.00,85900.00,33.9388345784831,98.2858450241121
Maharashtra,AMRAVATI,Kharif,Arhar/Tur,92200.00,96700.00,30.128203735251,139.465983044232
Maharashtra,AMRAVATI,Kharif,Arhar/Tur,99600.00,67300.00,30.439515296705,72.7258384071118
Maharashtra,AMRAVATI,Kharif,Arhar/Tur,95500.00,83500.00,30.2197242691693,119.50710556924
Maharashtra,AMRAVATI,Kharif,Arhar/Tur,93300.00,88900.00,34.4414244008813,77.4811092618576
Maharashtra,AMRAVATI,Kharif,Arhar/Tur,97500.00,86300.00,34.6653079718038,111.944847081775
Maharashtra,AMRAVATI,Kharif,Arhar/Tur,90900.00,70000.00,32.7346978016977,117.505239801832
Maharashtra,AMRAVATI,Kharif,Arhar/Tur,92800.00,79000.00,31.0834733003479,91.4925593769859
Maharashtra,AMRAVATI,Kharif,Arhar/Tur,95400.00,75500.00,33.1468177186667,133.685984088501
Maharashtra,AMRAVATI,Kharif,Arhar/Tur,848.00,908.00,31.5598784111347,89.0944194675177
Maharashtra,AMRAVATI,Kharif,Arhar/Tur,94400.00,79300.00,30.2148635173717,81.5503229996074
Maharashtra,AMRAVATI,Kharif,Arhar/Tur,102100.00,100500.00,30.9537778948326,115.241245435374
Maharashtra,AMRAVATI,Kharif,Arhar/Tur,119600.00,62900.00,32.1951209491107,125.532962900012
Maharashtra,AMRAVATI,Kharif,Arhar/Tur,127500.00,108900.00,33.1790103328365,82.3211281984861
Maharashtra,AMRAVATI,Kharif,Arhar/Tur,123800.00,133100.00,30.8359801608222,117.275369571819
Maharashtra,AMRAVATI,Kharif,Arhar/Tur,96200.00,133900.00,33.1640061685266,99.6572951506025
Maharashtra,AMRAVATI,Kharif,Arhar/Tur,103800.00,36800.00,33.0126688601479,91.0989179720867
Maharashtra,AURANGABAD,Kharif,Arhar/Tur,37100.00,3700.00,34.7461874840656,60.7041869500429
Maharashtra,AURANGABAD,Kharif,Arhar/Tur,40800.00,24400.00,30.7420246002129,96.0570307904987
Maharashtra,AURANGABAD,Kharif,Arhar/Tur,42300.00,17600.00,34.3609350662122,79.0678164034774
Maharashtra,AURANGABAD,Kharif,Arhar/Tur,52700.00,13500.00,30.124821785168,137.056518028736
Maharashtra,AURANGABAD,Kharif,Arhar/Tur,32700.00,9100.00,30.822346209507,91.3809961712409
Maharashtra,AURANGABAD,Kharif,Arhar/Tur,40000.00,11600.00,32.8596625297469,137.675345315988
Maharashtra,AURANGABAD,Kharif,Arhar/Tur,38000.00,13400.00,33.9147769203211,122.697644211049
Maharashtra,AURANGABAD,Kharif,Arhar/Tur,38700.00,19000.00,32.2477434673923,135.172345916548
Maharashtra,AURANGABAD,Kharif,Arhar/Tur,41300.00,25500.00,33.4549681128596,68.5068506581026
Maharashtra,AURANGABAD,Kharif,Arhar/Tur,40100.00,34400.00,32.1939490333185,65.1883229252855
Maharashtra,AURANGABAD,Kharif,Arhar/Tur,414.00,302.00,30.5797383458306,78.3149568406667
Maharashtra,AURANGABAD,Kharif,Arhar/Tur,27700.00,17300.00,32.6897904341318,88.6244363963195
Maharashtra,AURANGABAD,Kharif,Arhar/Tur,48300.00,36600.00,33.2006231190638,105.654614746025
Maharashtra,AURANGABAD,Kharif,Arhar/Tur,60800.00,53400.00,30.9963677208862,134.784431251414
Maharashtra,AURANGABAD,Kharif,Arhar/Tur,36100.00,28800.00,34.4656955891907,102.424905682547
Maharashtra,AURANGABAD,Kharif,Arhar/Tur,36100.00,12000.00,34.4774322070827,108.345916915765
Maharashtra,AURANGABAD,Kharif,Arhar/Tur,28600.00,26800.00,30.7667193994314,69.847070819197
Maharashtra,AURANGABAD,Kharif,Arhar/Tur,32900.00,8700.00,31.6028897991876,134.222424438741
Maharashtra,BEED,Kharif,Arhar/Tur,44200.00,7200.00,30.1648713287816,98.1545523270393
Maharashtra,BEED,Kharif,Arhar/Tur,46100.00,28400.00,30.5686219119394,130.22970359545
Maharashtra,BEED,Kharif,Arhar/Tur,47800.00,18100.00,30.3827198060189,74.2844513836979
